162.244.30.181#3#2#Scanning Host#CA#Kitchener#43.4105987549,-80.5010986328#11
202.33.240.16#3#2#Scanning Host#JP##35.6899986267,139.690002441#11
198.8.80.167#3#2#Scanning Host#US#Los Angeles#34.043800354,-118.251197815#11
95.140.194.210#3#2#Scanning Host#AM##40.0,45.0#11
104.155.53.101#3#2#Scanning Host#US#Mountain View#37.4192008972,-122.057403564#11
131.100.241.158#3#2#Scanning Host#BR##-23.547700882,-46.635799408#11
51.255.121.185#3#2#Scanning Host#FR##48.8600006104,2.34999990463#11
37.203.42.79#10#2#Spamming#GB##51.5,-0.129999995232#12
77.81.191.176#6#3#Spamming#RO##46.0,25.0#12
72.9.155.244#6#3#Spamming#US#Dallas#32.8148002625,-96.8704986572#12
66.35.65.68#9#5#Spamming#US#Orlando#28.6184997559,-81.4336013794#12
98.124.199.63#6#2#Spamming#US#Kirkland#47.6726989746,-122.187301636#12
198.105.208.71#6#2#Spamming#US#Providence#41.6929016113,-111.814697266#12
77.81.191.167#6#4#Spamming#RO##46.0,25.0#12
155.133.82.46#3#2#Scanning Host#PL##52.2332992554,21.0167007446#11
104.223.72.234#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
104.236.228.53#4#2#Malicious Host#US#New York#40.7490005493,-73.9865036011#3
40.114.55.33#3#2#Scanning Host#US#Washington#38.8950996399,-77.0363998413#11
222.73.205.78#3#2#Scanning Host#CN#Shanghai#31.0456008911,121.39969635#11
104.152.189.139#3#2#Scanning Host#US#Rochester#43.1730003357,-77.7137985229#11
195.123.209.1#6#2#Spamming#UA##50.4500007629,30.5233001709#12
62.194.250.98#4#3#Malicious Host#NL#Almere#52.3880996704,5.23540019989#3
14.17.74.158#4#3#Malicious Host#CN#Guangzhou#23.1166992188,113.25#3
62.138.2.123#4#2#Malicious Host###23.1166992188,113.25#3
198.7.57.149#4#2#Malicious Host#US#Manassas#38.7932014465,-77.5365982056#3
65.116.183.46#4#2#Malicious Host#US#Blythe#33.7566986084,-114.512397766#3
184.105.247.220#4#2#Malicious Host#US#Fremont#37.515499115,-121.896202087#3
184.105.247.208#4#2#Malicious Host#US#Fremont#37.515499115,-121.896202087#3
185.103.252.105#4#2#Malicious Host#RU##55.75,37.6166000366#3
188.166.32.125#4#2#Malicious Host#NL#Amsterdam#52.3499984741,4.91669988632#3
151.80.242.201#4#2#Malicious Host#FR#Roubaix#50.6941986084,3.17459988594#3
14.29.47.10#4#3#Malicious Host#CN#Guangzhou#23.1166992188,113.25#3
216.218.206.96#4#2#Malicious Host#US#Fremont#37.515499115,-121.896202087#3
209.126.127.38#4#2#Malicious Host#US#Saint Louis#38.6311988831,-90.192199707#3
